"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation"
"52","DEP","GOC011",0.000613333333333333,0.0929577464788732,0.259643000812037,0.343947784743796,71,0.0275414788732394,0.006187,0.1814,1.14827080484236
"53","DEP","GOC012",0,0.0197183098591549,0.910001550300491,0.867361657895768,71,0.0318271971830986,0.00583,0.1479,0.958643179744742
"54","DEP","GOC013",0.000332,0.0845070422535211,0.752133613065476,0.433608480938485,71,0.0226716197183099,0.00583,0.166,1.21030801001468
"55","DEP","GOC014",-0.0006525,-0.0309859154929577,0.228124806864681,0.825286388353679,71,0.119967042253521,0.00583,0.253,0.469646699412617
"56","DEP","GOC015",-0.000379999999999998,-0.0450704225352113,0.280042668883522,0.739783922333016,71,0.0499827887323944,0.00583,0.162,0.690891266102133
"57","DEP","HIL050",0.005089,0.057784911717496,0.619211964041599,0.475036615929794,89,0.369696015730337,0.00583,1.77,1.14109685324233
"58","DEP","HIL051",0,0.00852130325814536,0.835534157161726,0.970992941457863,95,0.0535902284210526,0.007,0.389,1.35551061057247
"59","DEP","HIL052",0.003174,0.0373376623376623,0.556335773555342,0.686772471118783,88,0.280475888636364,0.007,1.74,1.18729955925281
"60","DEP","HIL053",0,-0.0178571428571429,0.780495563405714,0.935371582845105,88,0.0998746943181818,0.00583,0.557,1.32528734753576
"61","DEP","HIL054",0.000891,0.107683982683983,0.889324192467114,0.2066730485302,88,0.0351952284090909,0.00583,0.303,1.35118755826967
"62","DEP","HIL055",0.001,0.0909090909090909,0.828285157989807,0.351727993385878,88,0.0512799988636364,0.007,0.329,1.25376333728393
"63","DEP","HIL056",0.000804999999999999,0.0844155844155844,0.945731373635845,0.351464668375343,88,0.0558507431818182,0.00661,0.5096,1.66429832809434
"64","DEP","HIL057",0.00162425,0.086038961038961,0.740227842951306,0.350672847475557,88,0.168672526136364,0.007,0.983,1.39676386332957
"65","DEP","HIL058",-0.000519,-0.0606060606060606,0.574475874002705,0.516527207955499,88,0.0604958477272727,0.007,0.558,1.31194287579972
"66","DEP","HIL059",0,0.00974025974025974,0.512222840097693,0.90311061704361,88,0.136839196590909,0.007,0.827,1.26484110114837
"67","DEP","HIL060",0.000701250000000001,0.0286796536796537,0.860630736752131,0.747004908020566,88,0.0792540204545455,0.00583,0.3951,0.773289764894687
"68","DEP","HIL061",-4.50000000000002e-05,-0.0492424242424242,0.781777081591123,0.65480975620665,88,0.034145875,0.00583,0.6171,2.03649407007681
"69","DEP","HIL062",0,0.00432900432900433,0.550842695109374,0.96770342286473,88,0.0380084852272727,0.00583,0.368,1.40083769649382
"70","DEP","HIL063",0,-0.013136288998358,0.824343239554796,0.901203728319791,87,0.0251519666666667,0.00583,0.2583,1.29831416908956
"71","DEP","ILW110",0.00116666666666667,0.0995073891625616,0.128544172980124,0.305003581571772,87,0.0643618390804598,0.00583,1.49,2.61112715741342
"72","DEP","ILW111",0.000575,0.112753147235906,0.875886668251147,0.233040040205294,87,0.0317285977011494,0.007,0.528,1.83815004001782
"73","DEP","ILW112",-0.000324166666666667,-0.0757525998905309,0.581621775633874,0.483012275016237,87,0.0175547126436782,0.00583,0.101,0.8279328589375
"74","DEP","ILW113",0,-0.0305418719211823,0.866531447982004,0.773080066312313,87,0.0419235977011494,0.00583,0.877,2.48504654385238
"75","DEP","ILW114",-0.000201,-0.0838533114395183,0.141701966246487,0.456493721178341,87,0.017807183908046,0.00583,0.094,0.808774968172023
"76","DEP","ILW115",0,-0.0521645021645022,0.0843187294305525,0.714545574209085,88,0.017844125,0.00583,0.111,0.842145072711091
"77","DEP","ILW116",4.375e-05,0.0347016967706623,0.139775916429262,0.591039143591172,87,0.0180241494252874,0.00583,0.088,0.758534530207226
"78","DEP","ILW117",0,-0.0170771756978654,0.908679464113089,0.933947802504011,87,0.0163764137931034,0.00583,0.07147,0.68340887557305
"79","DEP","ILW118",-4.9999999999998e-06,-0.0710454296661193,0.29225592659097,0.480510798734442,87,0.0175801609195402,0.00583,0.097,0.826757379532886
"80","DEP","ILW119",-0.000162,-0.0758658008658009,0.193166605537851,0.489604767516681,88,0.0175671363636364,0.00583,0.081,0.75569575604068
"81","DEP","JUP120",0.02125,0.167378215654078,0.0141212619938866,0.055013832353979,87,0.231211379310345,0.00978,0.9405,0.965298758318014
"82","DEP","JUP121",0.001483,0.1168035030104,0.138854407956013,0.204152504185546,87,0.0698836781609195,0.00583,0.584,1.62665982449179
"83","DEP","JUP122",0.00487458333333333,0.30727969348659,0.708601082314823,0.000573887870199829,87,0.0739461609195402,0.006057,0.5784,1.47936085772749
"84","DEP","JUP123",0.015,0.180186097427477,0.191179005376624,0.0370198495888057,87,0.16994816091954,0.00583,0.645,1.02515742717027
"85","DEP","JUP124",-0.00018025,-0.0556102900930487,0.846966989193203,0.59230128143299,87,0.0326801034482759,0.00583,0.338,1.62849438772202
"86","DEP","JUP125",-0.000346666666666667,-0.104324028461959,0.99393362217856,0.265510388953874,87,0.0334275172413793,0.00583,0.292,1.51237362973287
"87","DEP","JUP126",-0.000117333333333333,-0.0339354132457581,0.996365242534291,0.711458699254215,87,0.0340482068965517,0.00583,0.374,1.61068818901339
"88","DEP","JUP127",0.0001425,0.0469622331691297,0.99590094629231,0.59251050827427,87,0.0353373908045977,0.00583,0.392,1.61835437397739
"89","DEP","JUP128",0,-0.00186097427476738,0.999638601068377,1,87,0.030953816091954,0.00583,0.318,1.64287827396002
"90","DEP","JUP129",5.04166666666671e-05,0.0422550629447181,0.991658053790979,0.651198949856685,87,0.0318754137931034,0.00583,0.2853,1.56424547862845
"91","DEP","PEV040",0.014335,0.244593837535014,0.569139728433558,0.00981340149966763,85,0.177693176470588,0.00583,0.923,0.889358950436309
"92","DEP","PEV041",0.0148458333333333,0.225658263305322,0.794844018251284,0.0139892670359146,85,0.149789411764706,0.00583,0.653,1.02681835895583
"93","DEP","PEV042",0.00576583333333333,0.171428571428571,0.488827231134297,0.0677155670238598,85,0.115947882352941,0.00583,0.512,0.95335479346544
"94","DEP","PEV043",0.002078,0.0526546250684182,0.534335727116591,0.56535142677922,87,0.109768172413793,0.00583,0.764,1.09748567429511
"95","DEP","PEV044",0.00102166666666667,0.0953475643130816,0.984456172023851,0.304188064267081,87,0.0409090689655172,0.00583,0.2401,1.02426237822813
"96","DEP","PEV045",0.002,0.0829457364341085,0.927883974077563,0.382398861819492,86,0.0549951162790698,0.00653,0.289,1.09623795983861
"97","DEP","PEV046",0.001513,0.154898741105638,0.631017476684908,0.0845755503902233,87,0.0430735057471264,0.007,0.3094,1.02885269656936
"98","DEP","PEV047",0.00252,0.118272425249169,0.412477155414206,0.168390656217482,86,0.0503147674418605,0.007,0.236,0.943458230648895
