"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"215",2364,"SFER","46","2015-06-03","Chlorophyll_a",1.75,NA,-81,25,0
"216",2375,"SFER","47","2015-06-03","Chlorophyll_a",1.86,NA,-81,25,0
"217",2386,"SFER","48","2015-06-03","Chlorophyll_a",1.28,NA,-81,25,0
"218",2397,"SFER","49","2015-06-03","Chlorophyll_a",1.04,NA,-81,25,0
"219",2408,"SFER","50","2015-06-03","Chlorophyll_a",1.56,NA,-81,25,0
"220",2419,"SFER","51","2015-06-03","Chlorophyll_a",0.97,NA,-81,25,0
"221",2430,"SFER","52","2015-06-03","Chlorophyll_a",1.16,NA,-81,25,0
"222",2441,"SFER","53","2015-06-03","Chlorophyll_a",0.78,NA,-81,25,0
"223",2452,"SFER","54","2015-06-03","Chlorophyll_a",1.06,NA,-81,25,0
"224",2463,"SFER","55","2015-06-03","Chlorophyll_a",1.42,NA,-81,25,0
"225",2474,"SFER","56","2015-06-03","Chlorophyll_a",1.71,NA,-81,25,0
"226",2485,"SFER","57","2015-06-03","Chlorophyll_a",1.27,NA,-81,25,0
"227",2496,"SFER","57.1","2015-06-03","Chlorophyll_a",1.03,NA,-81,25,0
"228",2507,"SFER","57.2","2015-06-03","Chlorophyll_a",2.36,NA,-81,25,0
"229",2518,"SFER","57.3","2015-06-03","Chlorophyll_a",1.32,NA,-81,25,0
"230",2529,"SFER","58","2015-06-03","Chlorophyll_a",1.24,NA,-81,25,0
"231",2540,"SFER","59","2015-06-03","Chlorophyll_a",1.04,NA,-81,25,0
"232",2551,"SFER","60","2015-06-04","Chlorophyll_a",1.61,NA,-81,25,0
"233",2562,"SFER","61","2015-06-04","Chlorophyll_a",1.77,NA,-81,25,0
"234",2573,"SFER","62","2015-06-04","Chlorophyll_a",NA,NA,-81,25,0
"235",2584,"SFER","68","2015-06-04","Chlorophyll_a",NA,NA,-81,24,0
"236",2595,"SFER","69","2015-06-04","Chlorophyll_a",0.62,NA,-81,24,0
"237",2606,"SFER","70","2015-06-04","Chlorophyll_a",0.6,NA,-81,24,0
