"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"126",114931,"MiamiBeach","35","2020-03-14","Ammonia",NA,"mg/L",NA,NA,NA
"127",114932,"MiamiBeach","3A","2020-03-14","Ammonia",0.28,"mg/L",NA,NA,NA
"128",115125,"MiamiBeach","25","2020-04-10","Ammonia",0.052,"mg/L",NA,NA,NA
"129",115126,"MiamiBeach","1","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"130",115127,"MiamiBeach","2","2020-04-10","Ammonia",0.045,"mg/L",NA,NA,NA
"131",115128,"MiamiBeach","3B","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"132",115129,"MiamiBeach","3","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"133",115130,"MiamiBeach","3A","2020-04-10","Ammonia",0.31,"mg/L",NA,NA,NA
"134",115131,"MiamiBeach","4","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"135",115132,"MiamiBeach","5","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"136",115133,"MiamiBeach","6","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"137",115134,"MiamiBeach","7","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"138",115135,"MiamiBeach","8","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"139",115136,"MiamiBeach","9","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"140",115137,"MiamiBeach","10","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"141",115138,"MiamiBeach","11","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"142",115139,"MiamiBeach","12","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"143",115140,"MiamiBeach","13","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"144",115141,"MiamiBeach","14","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"145",115142,"MiamiBeach","15","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"146",115143,"MiamiBeach","16","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"147",115144,"MiamiBeach","17","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"148",115145,"MiamiBeach","18","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"149",115146,"MiamiBeach","19","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"150",115147,"MiamiBeach","20","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"151",115148,"MiamiBeach","21","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"152",115149,"MiamiBeach","22","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"153",115150,"MiamiBeach","23","2020-04-10","Ammonia",0.23,"mg/L",NA,NA,NA
"154",115151,"MiamiBeach","24","2020-04-10","Ammonia",NA,"mg/L",NA,NA,NA
"155",115313,"MiamiBeach","26","2020-04-11","Ammonia",NA,"mg/L",NA,NA,NA
"156",115314,"MiamiBeach","27","2020-04-11","Ammonia",NA,"mg/L",NA,NA,NA
"157",115315,"MiamiBeach","28","2020-04-11","Ammonia",0.038,"mg/L",NA,NA,NA
"158",115316,"MiamiBeach","32","2020-04-11","Ammonia",NA,"mg/L",NA,NA,NA
"159",115317,"MiamiBeach","33","2020-04-11","Ammonia",NA,"mg/L",NA,NA,NA
"160",115318,"MiamiBeach","29","2020-04-11","Ammonia",NA,"mg/L",NA,NA,NA
"161",115319,"MiamiBeach","30","2020-04-11","Ammonia",NA,"mg/L",NA,NA,NA
"162",115320,"MiamiBeach","31","2020-04-11","Ammonia",NA,"mg/L",NA,NA,NA
"163",115321,"MiamiBeach","34","2020-04-11","Ammonia",NA,"mg/L",NA,NA,NA
"164",115322,"MiamiBeach","41","2020-04-11","Ammonia",NA,"mg/L",NA,NA,NA
"165",115323,"MiamiBeach","40","2020-04-11","Ammonia",NA,"mg/L",NA,NA,NA
"166",115324,"MiamiBeach","39","2020-04-11","Ammonia",NA,"mg/L",NA,NA,NA
"167",115325,"MiamiBeach","38","2020-04-11","Ammonia",NA,"mg/L",NA,NA,NA
"168",115326,"MiamiBeach","37","2020-04-11","Ammonia",0.068,"mg/L",NA,NA,NA
"169",115327,"MiamiBeach","36","2020-04-11","Ammonia",NA,"mg/L",NA,NA,NA
"170",115328,"MiamiBeach","35","2020-04-11","Ammonia",NA,"mg/L",NA,NA,NA
"171",115512,"MiamiBeach","1","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"172",115513,"MiamiBeach","2","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"173",115514,"MiamiBeach","3B","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"174",115515,"MiamiBeach","3","2020-05-14","Ammonia",0.12,"mg/L",NA,NA,NA
"175",115516,"MiamiBeach","3A","2020-05-14","Ammonia",0.83,"mg/L",NA,NA,NA
"176",115517,"MiamiBeach","4","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"177",115518,"MiamiBeach","5","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"178",115519,"MiamiBeach","6","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"179",115520,"MiamiBeach","7","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"180",115521,"MiamiBeach","8","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"181",115522,"MiamiBeach","9","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"182",115523,"MiamiBeach","10","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"183",115524,"MiamiBeach","11","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"184",115525,"MiamiBeach","12","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"185",115526,"MiamiBeach","13","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"186",115527,"MiamiBeach","14","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"187",115528,"MiamiBeach","15","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"188",115529,"MiamiBeach","16","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"189",115530,"MiamiBeach","17","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"190",115531,"MiamiBeach","18","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"191",115532,"MiamiBeach","19","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"192",115533,"MiamiBeach","20","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"193",115534,"MiamiBeach","21","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"194",115535,"MiamiBeach","22","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"195",115536,"MiamiBeach","23","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"196",115537,"MiamiBeach","24","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"197",115538,"MiamiBeach","25","2020-05-14","Ammonia",NA,"mg/L",NA,NA,NA
"198",115700,"MiamiBeach","26","2020-05-16","Ammonia",NA,"mg/L",NA,NA,NA
"199",115701,"MiamiBeach","27","2020-05-16","Ammonia",NA,"mg/L",NA,NA,NA
"200",115702,"MiamiBeach","28","2020-05-16","Ammonia",NA,"mg/L",NA,NA,NA
"201",115703,"MiamiBeach","32","2020-05-16","Ammonia",NA,"mg/L",NA,NA,NA
"202",115704,"MiamiBeach","33","2020-05-16","Ammonia",NA,"mg/L",NA,NA,NA
"203",115705,"MiamiBeach","29","2020-05-16","Ammonia",NA,"mg/L",NA,NA,NA
"204",115706,"MiamiBeach","30","2020-05-16","Ammonia",NA,"mg/L",NA,NA,NA
"205",115707,"MiamiBeach","31","2020-05-16","Ammonia",0.059,"mg/L",NA,NA,NA
"206",115708,"MiamiBeach","34","2020-05-16","Ammonia",NA,"mg/L",NA,NA,NA
"207",115709,"MiamiBeach","41","2020-05-16","Ammonia",0.048,"mg/L",NA,NA,NA
"208",115710,"MiamiBeach","40","2020-05-16","Ammonia",NA,"mg/L",NA,NA,NA
"209",115711,"MiamiBeach","39","2020-05-16","Ammonia",0.092,"mg/L",NA,NA,NA
"210",115712,"MiamiBeach","38","2020-05-16","Ammonia",0.072,"mg/L",NA,NA,NA
"211",115713,"MiamiBeach","37","2020-05-16","Ammonia",NA,"mg/L",NA,NA,NA
"212",115714,"MiamiBeach","36","2020-05-16","Ammonia",NA,"mg/L",NA,NA,NA
"213",115715,"MiamiBeach","35","2020-05-16","Ammonia",0.05,"mg/L",NA,NA,NA
"214",115894,"MiamiBeach","1","2020-06-18","Ammonia",0.11,"mg/L",NA,NA,NA
"215",115895,"MiamiBeach","2","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"216",115896,"MiamiBeach","3B","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"217",115897,"MiamiBeach","3","2020-06-18","Ammonia",0.13,"mg/L",NA,NA,NA
"218",115898,"MiamiBeach","3A","2020-06-18","Ammonia",2.2,"mg/L",NA,NA,NA
"219",115899,"MiamiBeach","4","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"220",115900,"MiamiBeach","5","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"221",115901,"MiamiBeach","6","2020-06-18","Ammonia",0.036,"mg/L",NA,NA,NA
"222",115902,"MiamiBeach","7","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"223",115903,"MiamiBeach","8","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"224",115904,"MiamiBeach","9","2020-06-18","Ammonia",0.043,"mg/L",NA,NA,NA
"225",115905,"MiamiBeach","10","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"226",115906,"MiamiBeach","11","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
