"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"247",2708,"SFER","32","2015-06-03","Salinity",35.422,NA,25.8729,-81.8335,NA
"248",2719,"SFER","33","2015-06-03","Salinity",35.324,NA,25.912,-81.7994,NA
"249",2730,"SFER","34","2015-06-03","Salinity",35.273,NA,25.9498,-81.7671,NA
"250",2741,"SFER","42","2015-06-03","Salinity",35.272,NA,25.6555,-81.719,NA
"251",2752,"SFER","41","2015-06-03","Salinity",35.408,NA,25.7342,-81.575,NA
"252",2763,"SFER","40","2015-06-03","Salinity",35.459,NA,25.7578,-81.5233,NA
"253",2774,"SFER","39","2015-06-03","Salinity",34.209,NA,25.7804,-81.486,NA
"254",2785,"SFER","45","2015-06-03","Salinity",35.866,NA,25.5816,-81.4719,NA
"255",2796,"SFER","46","2015-06-03","Salinity",35.813,NA,25.5833,-81.4079,NA
"256",2807,"SFER","47","2015-06-03","Salinity",35.754,NA,25.5831,-81.3656,NA
"257",2818,"SFER","48","2015-06-03","Salinity",36.392,NA,25.5836,-81.3288,NA
"258",2829,"SFER","49","2015-06-03","Salinity",36.555,NA,25.5818,-81.2967,NA
"259",2840,"SFER","50","2015-06-03","Salinity",35.947,NA,25.4522,-81.35,NA
"260",2851,"SFER","51","2015-06-03","Salinity",35.891,NA,25.4527,-81.3085,NA
"261",2862,"SFER","52","2015-06-03","Salinity",35.764,NA,25.4537,-81.2594,NA
"262",2873,"SFER","53","2015-06-03","Salinity",34.287,NA,25.4538,-81.2288,NA
"263",2884,"SFER","54","2015-06-03","Salinity",35.517,NA,25.3414,-81.1559,NA
"264",2895,"SFER","55","2015-06-03","Salinity",36.294,NA,25.3514,-81.1949,NA
"265",2906,"SFER","56","2015-06-03","Salinity",36.977,NA,25.3501,-81.229,NA
"266",2917,"SFER","57","2015-06-03","Salinity",37.086,NA,25.3517,-81.2648,NA
"267",2928,"SFER","57.1","2015-06-03","Salinity",36.65,NA,25.3522,-81.3406,NA
"268",2939,"SFER","57.2","2015-06-03","Salinity",36.079,NA,25.3502,-81.4908,NA
"269",2950,"SFER","57.3","2015-06-03","Salinity",35.96,NA,25.3518,-81.6554,NA
